"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 06:51:06 GMT 2021","Fri Aug 13 06:51:06 GMT 2021","6","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Fri Aug 13 06:51:25 GMT 2021","Fri Aug 13 06:51:35 GMT 2021","9747","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Fri Aug 13 06:51:20 GMT 2021","Fri Aug 13 06:51:24 GMT 2021","4382","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Fri Aug 13 06:51:38 GMT 2021","Fri Aug 13 06:52:06 GMT 2021","28171","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Fri Aug 13 06:52:29 GMT 2021","Fri Aug 13 06:52:33 GMT 2021","4380","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Fri Aug 13 06:52:08 GMT 2021","Fri Aug 13 06:52:12 GMT 2021","4301","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Fri Aug 13 06:51:11 GMT 2021","Fri Aug 13 06:51:14 GMT 2021","2931","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Fri Aug 13 06:52:14 GMT 2021","Fri Aug 13 06:52:27 GMT 2021","13021","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Fri Aug 13 06:51:16 GMT 2021","Fri Aug 13 06:51:18 GMT 2021","2381","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Fri Aug 13 06:51:04 GMT 2021","Fri Aug 13 06:51:04 GMT 2021","106","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Fri Aug 13 06:51:37 GMT 2021","Fri Aug 13 06:51:37 GMT 2021","51","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
