"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 15:24:33 GMT 2021","Thu Aug 05 15:24:36 GMT 2021","3679","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 15:24:48 GMT 2021","Thu Aug 05 15:24:48 GMT 2021","51","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 15:25:40 GMT 2021","Thu Aug 05 15:25:44 GMT 2021","4328","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"failed","Thu Aug 05 15:24:30 GMT 2021","Thu Aug 05 15:24:32 GMT 2021","2355","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 15:24:50 GMT 2021","Thu Aug 05 15:25:18 GMT 2021","27977","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Thu Aug 05 15:24:25 GMT 2021","Thu Aug 05 15:24:28 GMT 2021","2776","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Thu Aug 05 15:24:22 GMT 2021","Thu Aug 05 15:24:23 GMT 2021","106","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 15:24:24 GMT 2021","Thu Aug 05 15:24:24 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Thu Aug 05 15:24:37 GMT 2021","Thu Aug 05 15:24:46 GMT 2021","9162","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 15:25:19 GMT 2021","Thu Aug 05 15:25:24 GMT 2021","4360","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 15:25:25 GMT 2021","Thu Aug 05 15:25:38 GMT 2021","12899","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
