"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 06:52:13 GMT 2021","Fri Aug 13 06:52:17 GMT 2021","4330","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Fri Aug 13 06:51:58 GMT 2021","Fri Aug 13 06:52:11 GMT 2021","12881","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Fri Aug 13 06:51:00 GMT 2021","Fri Aug 13 06:51:02 GMT 2021","2354","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Fri Aug 13 06:51:22 GMT 2021","Fri Aug 13 06:51:22 GMT 2021","48","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Fri Aug 13 06:50:54 GMT 2021","Fri Aug 13 06:50:54 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Fri Aug 13 06:51:23 GMT 2021","Fri Aug 13 06:51:51 GMT 2021","27978","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Fri Aug 13 06:51:52 GMT 2021","Fri Aug 13 06:51:56 GMT 2021","4271","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Fri Aug 13 06:51:10 GMT 2021","Fri Aug 13 06:51:20 GMT 2021","10151","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Fri Aug 13 06:50:56 GMT 2021","Fri Aug 13 06:50:58 GMT 2021","2725","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Fri Aug 13 06:50:52 GMT 2021","Fri Aug 13 06:50:52 GMT 2021","84","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Fri Aug 13 06:51:04 GMT 2021","Fri Aug 13 06:51:08 GMT 2021","4057","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
