"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:31:07 GMT 2021","Thu Aug 12 19:31:35 GMT 2021","28062","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Thu Aug 12 19:31:05 GMT 2021","Thu Aug 12 19:31:05 GMT 2021","51","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 12 19:30:44 GMT 2021","Thu Aug 12 19:30:47 GMT 2021","2347","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 12 19:30:37 GMT 2021","Thu Aug 12 19:30:37 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Thu Aug 12 19:31:57 GMT 2021","Thu Aug 12 19:32:02 GMT 2021","4380","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 12 19:31:43 GMT 2021","Thu Aug 12 19:31:56 GMT 2021","12912","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Thu Aug 12 19:31:37 GMT 2021","Thu Aug 12 19:31:41 GMT 2021","4290","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 12 19:30:54 GMT 2021","Thu Aug 12 19:31:03 GMT 2021","9391","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 12 19:30:39 GMT 2021","Thu Aug 12 19:30:43 GMT 2021","3808","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Thu Aug 12 19:30:48 GMT 2021","Thu Aug 12 19:30:52 GMT 2021","3962","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 12 19:30:35 GMT 2021","Thu Aug 12 19:30:35 GMT 2021","208","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
