"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 18:12:45 GMT 2021","Thu Aug 05 18:12:45 GMT 2021","74","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 18:12:48 GMT 2021","Thu Aug 05 18:12:51 GMT 2021","2768","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Thu Aug 05 18:13:59 GMT 2021","Thu Aug 05 18:14:04 GMT 2021","4317","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 18:13:41 GMT 2021","Thu Aug 05 18:13:45 GMT 2021","4270","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 18:12:46 GMT 2021","Thu Aug 05 18:12:46 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Thu Aug 05 18:13:00 GMT 2021","Thu Aug 05 18:13:09 GMT 2021","9148","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 18:13:46 GMT 2021","Thu Aug 05 18:13:58 GMT 2021","12847","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Thu Aug 05 18:12:52 GMT 2021","Thu Aug 05 18:12:55 GMT 2021","2326","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 18:12:56 GMT 2021","Thu Aug 05 18:12:59 GMT 2021","3571","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 18:13:10 GMT 2021","Thu Aug 05 18:13:10 GMT 2021","49","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 18:13:11 GMT 2021","Thu Aug 05 18:13:39 GMT 2021","27890","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
