"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 17:37:51 GMT 2021","Thu Aug 05 17:37:57 GMT 2021","5333","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"broken","Thu Aug 05 17:37:39 GMT 2021","Thu Aug 05 17:37:39 GMT 2021","221","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 17:37:33 GMT 2021","Thu Aug 05 17:37:33 GMT 2021","120","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"broken","Thu Aug 05 17:37:58 GMT 2021","Thu Aug 05 17:38:01 GMT 2021","2281","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 17:37:49 GMT 2021","Thu Aug 05 17:37:49 GMT 2021","52","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 17:37:35 GMT 2021","Thu Aug 05 17:37:35 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"broken","Thu Aug 05 17:38:02 GMT 2021","Thu Aug 05 17:38:08 GMT 2021","5338","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"broken","Thu Aug 05 17:37:45 GMT 2021","Thu Aug 05 17:37:48 GMT 2021","2279","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"broken","Thu Aug 05 17:37:41 GMT 2021","Thu Aug 05 17:37:43 GMT 2021","2494","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"broken","Thu Aug 05 17:37:36 GMT 2021","Thu Aug 05 17:37:37 GMT 2021","674","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"broken","Thu Aug 05 17:38:10 GMT 2021","Thu Aug 05 17:38:14 GMT 2021","4293","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
