"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 06:50:25 GMT 2021","Fri Aug 13 06:50:29 GMT 2021","4314","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"failed","Fri Aug 13 06:49:28 GMT 2021","Fri Aug 13 06:49:30 GMT 2021","2952","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Fri Aug 13 06:49:55 GMT 2021","Fri Aug 13 06:50:23 GMT 2021","28085","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Fri Aug 13 06:49:24 GMT 2021","Fri Aug 13 06:49:24 GMT 2021","83","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Fri Aug 13 06:49:32 GMT 2021","Fri Aug 13 06:49:35 GMT 2021","2350","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Fri Aug 13 06:50:45 GMT 2021","Fri Aug 13 06:50:50 GMT 2021","4372","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Fri Aug 13 06:49:36 GMT 2021","Fri Aug 13 06:49:40 GMT 2021","3840","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Fri Aug 13 06:49:42 GMT 2021","Fri Aug 13 06:49:51 GMT 2021","9244","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Fri Aug 13 06:50:31 GMT 2021","Fri Aug 13 06:50:44 GMT 2021","12999","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Fri Aug 13 06:49:26 GMT 2021","Fri Aug 13 06:49:26 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Fri Aug 13 06:49:53 GMT 2021","Fri Aug 13 06:49:53 GMT 2021","52","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
