"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 15:02:58 GMT 2021","Thu Aug 05 15:02:58 GMT 2021","47","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 15:02:33 GMT 2021","Thu Aug 05 15:02:36 GMT 2021","3363","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"broken","Thu Aug 05 15:03:00 GMT 2021","Thu Aug 05 15:03:10 GMT 2021","10804","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Thu Aug 05 15:03:12 GMT 2021","Thu Aug 05 15:03:16 GMT 2021","4279","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"broken","Thu Aug 05 15:02:38 GMT 2021","Thu Aug 05 15:02:40 GMT 2021","2302","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 15:02:31 GMT 2021","Thu Aug 05 15:02:31 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Thu Aug 05 15:02:41 GMT 2021","Thu Aug 05 15:02:45 GMT 2021","3773","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 15:02:29 GMT 2021","Thu Aug 05 15:02:29 GMT 2021","81","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 15:02:46 GMT 2021","Thu Aug 05 15:02:56 GMT 2021","9707","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 15:03:33 GMT 2021","Thu Aug 05 15:03:37 GMT 2021","4328","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 15:03:18 GMT 2021","Thu Aug 05 15:03:31 GMT 2021","12878","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
