"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 14:11:16 GMT 2021","Thu Aug 05 14:11:19 GMT 2021","2287","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 14:11:34 GMT 2021","Thu Aug 05 14:11:38 GMT 2021","4277","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 14:11:09 GMT 2021","Thu Aug 05 14:11:09 GMT 2021","136","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 14:11:13 GMT 2021","Thu Aug 05 14:11:15 GMT 2021","2795","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"broken","Thu Aug 05 14:11:40 GMT 2021","Thu Aug 05 14:11:42 GMT 2021","2279","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"broken","Thu Aug 05 14:11:25 GMT 2021","Thu Aug 05 14:11:27 GMT 2021","2228","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"broken","Thu Aug 05 14:11:43 GMT 2021","Thu Aug 05 14:11:47 GMT 2021","4243","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 14:11:11 GMT 2021","Thu Aug 05 14:11:11 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"broken","Thu Aug 05 14:11:21 GMT 2021","Thu Aug 05 14:11:23 GMT 2021","2286","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"broken","Thu Aug 05 14:11:30 GMT 2021","Thu Aug 05 14:11:32 GMT 2021","2281","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Thu Aug 05 14:11:29 GMT 2021","Thu Aug 05 14:11:29 GMT 2021","48","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
