"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 14:53:44 GMT 2021","Thu Aug 05 14:53:49 GMT 2021","4395","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 14:53:21 GMT 2021","Thu Aug 05 14:53:21 GMT 2021","60","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"broken","Thu Aug 05 14:53:23 GMT 2021","Thu Aug 05 14:53:28 GMT 2021","5486","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"broken","Thu Aug 05 14:53:01 GMT 2021","Thu Aug 05 14:53:03 GMT 2021","2368","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 14:53:05 GMT 2021","Thu Aug 05 14:53:09 GMT 2021","3947","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 14:53:11 GMT 2021","Thu Aug 05 14:53:20 GMT 2021","9291","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 14:52:52 GMT 2021","Thu Aug 05 14:52:52 GMT 2021","96","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 14:53:29 GMT 2021","Thu Aug 05 14:53:33 GMT 2021","4321","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 14:53:35 GMT 2021","Thu Aug 05 14:53:42 GMT 2021","7165","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Thu Aug 05 14:52:54 GMT 2021","Thu Aug 05 14:52:54 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"failed","Thu Aug 05 14:52:55 GMT 2021","Thu Aug 05 14:52:59 GMT 2021","3726","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
