"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 15:34:25 GMT 2021","Thu Aug 05 15:34:29 GMT 2021","4370","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 15:33:37 GMT 2021","Thu Aug 05 15:33:42 GMT 2021","4079","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 15:33:55 GMT 2021","Thu Aug 05 15:34:23 GMT 2021","27997","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"passed","Thu Aug 05 15:34:31 GMT 2021","Thu Aug 05 15:34:44 GMT 2021","12917","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"broken","Thu Aug 05 15:33:43 GMT 2021","Thu Aug 05 15:33:51 GMT 2021","8203","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 15:33:53 GMT 2021","Thu Aug 05 15:33:53 GMT 2021","50","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 15:33:26 GMT 2021","Thu Aug 05 15:33:26 GMT 2021","68","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"passed","Thu Aug 05 15:34:45 GMT 2021","Thu Aug 05 15:34:50 GMT 2021","4333","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"failed","Thu Aug 05 15:33:33 GMT 2021","Thu Aug 05 15:33:36 GMT 2021","2340","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 15:33:29 GMT 2021","Thu Aug 05 15:33:32 GMT 2021","2534","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"passed","Thu Aug 05 15:33:27 GMT 2021","Thu Aug 05 15:33:27 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
