"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 14:20:16 GMT 2021","Thu Aug 05 14:20:16 GMT 2021","5","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"broken","Thu Aug 05 14:20:23 GMT 2021","Thu Aug 05 14:20:26 GMT 2021","2423","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"passed","Thu Aug 05 14:20:36 GMT 2021","Thu Aug 05 14:20:36 GMT 2021","60","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"passed","Thu Aug 05 14:20:14 GMT 2021","Thu Aug 05 14:20:15 GMT 2021","135","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"broken","Thu Aug 05 14:20:38 GMT 2021","Thu Aug 05 14:20:41 GMT 2021","2369","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"broken","Thu Aug 05 14:20:49 GMT 2021","Thu Aug 05 14:20:51 GMT 2021","2369","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"broken","Thu Aug 05 14:20:28 GMT 2021","Thu Aug 05 14:20:30 GMT 2021","2388","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"broken","Thu Aug 05 14:20:32 GMT 2021","Thu Aug 05 14:20:34 GMT 2021","2328","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"broken","Thu Aug 05 14:20:53 GMT 2021","Thu Aug 05 14:20:58 GMT 2021","4336","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 14:20:43 GMT 2021","Thu Aug 05 14:20:47 GMT 2021","4376","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
"passed","Thu Aug 05 14:20:17 GMT 2021","Thu Aug 05 14:20:21 GMT 2021","3985","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
