"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 14:41:15 GMT 2021","Thu Aug 05 14:41:15 GMT 2021","443","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_data_from_file_008",""
"broken","Thu Aug 05 14:41:08 GMT 2021","Thu Aug 05 14:41:09 GMT 2021","485","test_conduit","test_vizsgaremek","TestConduitApp","","","test_adding_new_article_005",""
"passed","Thu Aug 05 14:41:13 GMT 2021","Thu Aug 05 14:41:13 GMT 2021","62","test_conduit","test_vizsgaremek","TestConduitApp","","","test_pagination_007",""
"broken","Thu Aug 05 14:41:22 GMT 2021","Thu Aug 05 14:41:24 GMT 2021","2407","test_conduit","test_vizsgaremek","TestConduitApp","","","test_logout_011",""
"passed","Thu Aug 05 14:40:56 GMT 2021","Thu Aug 05 14:40:56 GMT 2021","4","test_conduit","test_vizsgaremek","TestConduitApp","","","test_home_page_appearance_002",""
"passed","Thu Aug 05 14:40:58 GMT 2021","Thu Aug 05 14:41:02 GMT 2021","3362","test_conduit","test_vizsgaremek","TestConduitApp","","","test_register_003",""
"broken","Thu Aug 05 14:41:21 GMT 2021","Thu Aug 05 14:41:21 GMT 2021","440","test_conduit","test_vizsgaremek","TestConduitApp","","","test_del_article_010",""
"passed","Thu Aug 05 14:40:54 GMT 2021","Thu Aug 05 14:40:54 GMT 2021","162","test_conduit","test_vizsgaremek","TestConduitApp","","","test_cookie_001",""
"broken","Thu Aug 05 14:41:04 GMT 2021","Thu Aug 05 14:41:06 GMT 2021","2457","test_conduit","test_vizsgaremek","TestConduitApp","","","test_navigate_to_login_004",""
"broken","Thu Aug 05 14:41:10 GMT 2021","Thu Aug 05 14:41:11 GMT 2021","423","test_conduit","test_vizsgaremek","TestConduitApp","","","test_edit_settings_006",""
"passed","Thu Aug 05 14:41:16 GMT 2021","Thu Aug 05 14:41:19 GMT 2021","2483","test_conduit","test_vizsgaremek","TestConduitApp","","","test_writing_data_to_file_009",""
